FACILITY,TOTAL REVENUE,Branch
C. S. ALLOT PHARMACY,9508.26,DOME WHOLESALE
PRIME PHARMACY-CANTOMENT,9474.90,TANTRA HILL WHOLESALE
ABRAHAM KWEKU USSHER CHEMICAL SHOP,9446.34,MALLAM WHOLESALE
DR. BEN OFORI,9417.70,KUMASI WHOLESALE
SARAH DONKOR CHEMICALS,9390.89,DOME WHOLESALE
DELEES PHARMACY,9377.47,OKAISHIE WHOLESALE
FIGEE-A PHARMCY LTD,9375.21,AKUKOR FOTO WHOLESALE
HAPPY LIFE PHARMACY,9338.25,KORLE-BU WHOLESALE
HMB CHEMICALS,9284.36,DANSOMAN MARKET WHOLESALE
MEDITECH SHOP,9272.80,KORLE-BU WHOLESALE
ADOM CHEMICALS,9242.03,MALLAM WHOLESALE
JOY PHARMACY LTD,9218.20,OSU WHOLESALE
ULTIMATE CHEMICAL SHOP,9209.40,DANSOMAN MARKET WHOLESALE
ORIOM PHARMACY,9190.52,NANAKROM WHOLESALE
BOAMAH OTCMS,9189.86,OKAISHIE WHOLESALE
SAHA PHARMACY,9187.31,OKAISHIE WHOLESALE
ARC PHARMACY,9148.24,TANTRA HILL WHOLESALE
ECCLESIA HILL PHARMACY,9133.13,KUMASI WHOLESALE
KN & ASSOCIATES,9125.17,KORLE-BU WHOLESALE
AFRAKAY CHEMICAL,9112.90,KASOA WHOLESALE
TWUMWAH PHARMACY,9110.35,TANTRA HILL WHOLESALE
BURMA CAMP PHARMACY,9108.82,OKAISHIE WHOLESALE
CHAILISA PHARMACY,9086.87,NANAKROM WHOLESALE
MESSIAH CHEMISTS,9068.18,ABEKA WHOLESALE
E MEDICAL,9062.37,NANAKROM WHOLESALE
MOKAT CHEMIST LTD.,9036.12,KORLE-BU WHOLESALE
DRUGIX PHARMACY,9032.08,OKAISHIE WHOLESALE
PRECIOUS CHEMICAL,9021.26,ABEKA WHOLESALE
ELIAKIM PHARMACY LTD -RETAIL,9014.53,KUMASI WHOLESALE
PHOENIX EYE CARE CENTRE,9009.35,KASOA WHOLESALE
BENNAT CHEMICAL SHOP,8992.90,OFANKOR WHOLESALE
SAMSED PHARMACY,8984.21,REPUBLIC WHOLESALE
TALII PHARMACY LTD,8967.87,MALLAM WHOLESALE
TIB PHARMACY - WHOLESALE,8953.00,KUMASI WHOLESALE
KANBOK  PHARMACEUTICAL,8935.88,TANTRA HILL WHOLESALE
SUNFLOWER PHARMACEUTICAL LTD,8794.99,KORLE-BU WHOLESALE
SALLYVICKS CHEMICAL,8740.09,MALLAM WHOLESALE
ROYAL FAMILY HOSPITAL,8730.94,DANSOMAN MARKET WHOLESALE
MEGLO PHARMACY,8715.10,DANSOMAN MARKET WHOLESALE
N - GEO PHARMACY,8693.95,NANAKROM WHOLESALE
BEBAL PHARMACY,8680.07,OKAISHIE WHOLESALE
VONNE BERT PHARMACY LTD,8670.22,MALLAM WHOLESALE
MEDGEM PHARMACY LTD,8648.23,TANTRA HILL WHOLESALE
SOLIS HOSPITAL,8631.36,OSU WHOLESALE
PROCARE PHARMACY LTD,8626.31,KUMASI WHOLESALE
MAWU ENA PHARMACY,8609.50,OKAISHIE WHOLESALE
PARAPHARMA CO. LTD,8602.86,OKAISHIE WHOLESALE
MAM CHEMIST,8601.25,NANAKROM WHOLESALE
OWUSU BANUAKU,8584.46,DANSOMAN MARKET WHOLESALE
FRIMPSAH CHEMICAL,8576.92,DOME WHOLESALE
WEST AFRICAN GENETIC MEDICINE CENTRE,8573.15,KORLE-BU WHOLESALE
NANA OSEI BOATENG CHEMICAL,8564.52,DANSOMAN MARKET WHOLESALE
WISHARD PHARMACY,8561.04,DOME WHOLESALE
KEAT PHARMACY LTD,8543.64,ASHAIMAN WHOLESALE
CONQUERS HEALTH CARE,8524.33,OSU WHOLESALE
PREMIER POINT CHEMIST,8476.01,OSU WHOLESALE
ALL IS WELL PHARMACY,8468.60,KUMASI WHOLESALE
MEDI CASA  PHARMACY,8448.67,OKAISHIE WHOLESALE
MAVIES CHEMICAL,8446.65,NANAKROM WHOLESALE
LETICIA CHEMICALS,8445.43,DOME WHOLESALE
GOOD AIDE PHARMACY,8407.30,KASOA WHOLESALE
TYMCOIN PHARMACY LTD,8403.80,KORLE-BU WHOLESALE
APT PHARMACY,8392.98,OKAISHIE WHOLESALE
FRANBERT CHEMICALS,8381.78,OKAISHIE WHOLESALE
GLODIS PHARMACY,8354.57,MALLAM WHOLESALE
KIITOS DIOS PHARMACY -AHAFO MIM,8320.20,KUMASI WHOLESALE
SERGEN PHARMACY,8313.21,REPUBLIC WHOLESALE
PENTECOST HOSPITAL - AYANFURI,8279.40,PATASE WHOLESALE
ONYX PHARMACY,8278.47,OFANKOR WHOLESALE
OKAISHIE PHARMACY,8265.48,REPUBLIC WHOLESALE
PISHON ENTERPRISE,8250.00,OSU WHOLESALE
DY-GRACE CHEMICAL,8248.54,ABEKA WHOLESALE
ELOHIM PHARMACY,8237.90,OKAISHIE WHOLESALE
SUCCESS KEY PHARMACY,8233.53,REPUBLIC WHOLESALE
PRIJO PHARMACY,8227.12,OKAISHIE WHOLESALE
EVA DARKU CHEMIST,8207.48,ABEKA WHOLESALE
RAY CHEMICALS,8205.11,DOME WHOLESALE
EWZ BEAUTY ACE,8187.64,DOME WHOLESALE
SAVERS LIFE PHARMACY LTD.,8156.10,REPUBLIC WHOLESALE
SANDY CHEMICAL,8128.31,OFANKOR WHOLESALE
ANIMA CHEMICAL,8117.95,TANTRA HILL WHOLESALE
ALL FAITH MEDICAL CENTER,8110.01,KORLE-BU WHOLESALE
DORCAS MEDICAL MISSIONS,8100.00,KORLE-BU WHOLESALE
TOP UP PHARMACY OSU,8067.08,ASHAIMAN WHOLESALE
ORKMAN PHARMACY,8033.58,DOME WHOLESALE
QUEENS' HOSPITAL &  MATERNITY,8014.87,PATASE WHOLESALE
AWUDU PHARMACY - WHOLESALE BOLGATANGA,8000.00,KUMASI WHOLESALE
OBATAANPA WOMENS HOSPITAL,7991.78,OSU WHOLESALE
JUSTICE F. Y. KPEGAH,7990.74,TANTRA HILL WHOLESALE
MD PHARMACY - KOPOVI,7977.66,TANTRA HILL WHOLESALE
MEDWAY PHARMACY,7976.88,TANTRA HILL WHOLESALE
DAKAL MEDICAL CENTER,7966.08,DOME WHOLESALE
MEDRX CHEMIST,7954.21,REPUBLIC WHOLESALE
SENA SIDE PHARMACY,7948.00,KORLE-BU WHOLESALE
SANDRA CHEMICALS,7932.45,TANTRA HILL WHOLESALE
HABANA MEDICAL SERVICES,7920.00,KORLE-BU WHOLESALE
ACHESTA PHARMACEUTICALS,7904.00,OSU WHOLESALE
OAKA PHARMACY,7885.26,ABEKA WHOLESALE
EXPRESS CHEMIST,7873.80,KORLE-BU WHOLESALE
LOVINGLIFE CHINESE HOSPITAL,7872.18,KORLE-BU WHOLESALE
CATHRINE AMEYAW CHEMICAL SHOP,7861.76,OFANKOR WHOLESALE
BEGORO GOVERNMENT HOSPITAL,7861.52,MALLAM WHOLESALE
KWAINT ESSENCE PHARMACY,7845.80,KUMASI WHOLESALE
SELIMA CHEMICAL,7835.96,ABEKA WHOLESALE
AVENUE CHEMIST,7828.85,TANTRA HILL WHOLESALE
KOSA PHARMACY,7811.31,REPUBLIC WHOLESALE
PHARMRITE PHARMACY-OYIBI,7807.72,OKAISHIE WHOLESALE
ERLA MEDICAL ENTERPRISE,7800.00,OSU WHOLESALE
PAA WILLI CHEMICAL,7797.83,OFANKOR WHOLESALE
WELCOME PHARMACY,7794.36,OKAISHIE WHOLESALE
SUSAN CHEMICAL SHOP,7787.98,OFANKOR WHOLESALE
FIGEE-A PHARMCY LTD,7759.08,MALLAM WHOLESALE
JESA CHEMICAL  SHOP,7754.06,MALLAM WHOLESALE
INTERNATIONAL MARITIME HOSPITAL,7744.72,ASHAIMAN WHOLESALE
JKN PHARMACY,7724.61,DOME WHOLESALE
VICDONNAI CHEMICAL SHOP,7711.14,KASOA WHOLESALE
BLESSED CHEMIST,7702.21,ASHAIMAN WHOLESALE
SAFARI VALLEY,7694.58,KORLE-BU WHOLESALE
BUIPE PHARMACY,7637.21,MALLAM WHOLESALE
SILVARA PHARMACY,7621.22,OFANKOR WHOLESALE
MOUNTY HIGH PHARMACY,7610.00,MALLAM WHOLESALE
CHRISPOD HOSPITAL AND DIAGNOSTIC CENTER,7606.58,DOME WHOLESALE
BRIGHT MORNING MEDICAL SUPPLY-AMANFROM,7600.00,KUMASI WHOLESALE
DROMI CHEMICALS,7596.90,MALLAM WHOLESALE
CELESTINA OSEI BOATENG CHEMICAL SHOP,7585.73,OFANKOR WHOLESALE
PRIME VISION MEDICAL CENTER,7562.89,TANTRA HILL WHOLESALE
FAYAD HOSPITAL,7551.28,DOME WHOLESALE
TRIVE PHARMACY LTD,7507.66,TANTRA HILL WHOLESALE
MAYTON PHARMACY LIMITED,7504.05,ABEKA WHOLESALE
PLANNED PARENT ASSOCIATION OF GHANA PPAG,7500.00,KORLE-BU WHOLESALE
HEALTHMARK PHARMACY,7498.03,DOME WHOLESALE
YESU SIME CHEM,7472.97,TANTRA HILL WHOLESALE
EDAFAN CHEMICAL,7470.22,DOME WHOLESALE
WOLAD ENTERPRISE,7448.50,MALLAM WHOLESALE
KWART LINK PHARMACY,7411.99,TANTRA HILL WHOLESALE
BENNETT CHEMICALS,7410.07,OFANKOR WHOLESALE
ERITH SPECIALTY PHARMACY(WHOLESALE),7400.13,MALLAM WHOLESALE
AIRPORT WOMEN'S HOSPITAL,7399.95,MALLAM WHOLESALE
FIDELITY HEALTH CARE,7389.20,KORLE-BU WHOLESALE
KAIZEN PHARMACY,7347.30,DANSOMAN MARKET WHOLESALE
4A'S PHARMACY,7347.21,NANAKROM WHOLESALE
PH PHARMACY - DONKORKROM,7333.35,KUMASI WHOLESALE
E K AMPADU CHEMICAL SHOP,7291.59,ABEKA WHOLESALE
MEDNET PHARMACY,7288.30,NANAKROM WHOLESALE
EVE CHEMICAL,7284.42,DANSOMAN MARKET WHOLESALE
MARY LUCY HOSPITAL,7281.60,MALLAM WHOLESALE
RENARGE PHARMACY,7254.68,PATASE WHOLESALE
COMFORT CHEMIST,7249.68,OKAISHIE WHOLESALE
PRIME MEDI- TRUST PHARMACY,7241.80,REPUBLIC WHOLESALE
TAMAHA PHARMACY,7241.03,OSU WHOLESALE
MEDIWORLD PHARMACY,7236.54,OKAISHIE WHOLESALE
THE INSTITUTE FOR SECURITY DISASTER AND EMERGENCY STUDIES,7221.56,MALLAM WHOLESALE
DOCMORISON PHARMACY,7206.62,DANSOMAN MARKET WHOLESALE
FAMAZAZA PHARMACY,7185.48,NANAKROM WHOLESALE
INVISIBLE HAND CHEMIST LTD,7180.00,KORLE-BU WHOLESALE
CADSAM CHEMICAL,7156.60,REPUBLIC WHOLESALE
ASH VILLAGE PHARMACY,7156.42,KASOA WHOLESALE
SANDRA CHEMICALS,7150.12,MALLAM WHOLESALE
AGBEVE HERBAL MEDICAL HOSPITAL,7139.14,MALLAM WHOLESALE
BEVAN CHEMICAL,7134.11,ASHAIMAN WHOLESALE
SUCCESS KEY PHARMACY,7132.84,ABEKA WHOLESALE
OCHPAUL PHARMACY,7104.33,PATASE WHOLESALE
ASANFOR PHARMACY,7076.30,MALLAM WHOLESALE
KWAAHBUDGET GUESTHOUSE,7043.52,MALLAM WHOLESALE
JULIMED PHARMACY,7029.80,DOME WHOLESALE
NENESCO CHEMICAL SHOP,7020.24,KASOA WHOLESALE
GREAT PROVIDER,7000.00,REPUBLIC WHOLESALE
WALASCO PHARMACY,6930.83,ASHAIMAN WHOLESALE
KRISVYC PHARMACY,6920.00,TANTRA HILL WHOLESALE
ASYLUM DOWN DENTAL CLINIC,6914.33,MALLAM WHOLESALE
SMART CARE PHARMACY,6899.23,DANSOMAN MARKET WHOLESALE
CIUTHOG CHEMICAL,6869.56,MALLAM WHOLESALE
TIYAC PHARMACY,6863.85,NANAKROM WHOLESALE
OWUSU OPOKU CHEMICAL,6855.80,ABEKA WHOLESALE
PHARMALOFT PHARMACY,6846.12,TANTRA HILL WHOLESALE
MEGAN CHEMIST LTD,6829.44,DANSOMAN MARKET WHOLESALE
EL - SHADDAI CLINIC,6824.11,ABEKA WHOLESALE
GINAPHARMA -TAMALE,6800.00,PATASE WHOLESALE
MERCY'S OF GOD CHEMICAL SHOP,6793.05,KASOA WHOLESALE
JONH TEYE MEMORIAL SCHOOL,6787.04,OFANKOR WHOLESALE
ACRES MEDICAL CENTRE,6779.54,NANAKROM WHOLESALE
BRIGHT CHEMICAL SHOP,6777.38,REPUBLIC WHOLESALE
VALLEY VISION CHEMICAL,6777.04,DOME WHOLESALE
GATUS PHARMACY,6762.60,PATASE WHOLESALE
LIFELINE HOSPITAL,6756.81,MALLAM WHOLESALE
DAROSE PHARMACY - WHOLESALE,6753.00,OKAISHIE WHOLESALE
VENACAVA PHARMACY LTD,6745.83,MALLAM WHOLESALE
CARDIO ICU,6736.43,KORLE-BU WHOLESALE
KLIMOVIC MEMORIAL HOSPITAL,6726.90,MALLAM WHOLESALE
ABIGAIL AGYEKUM CHEMICAL SHOP,6706.29,REPUBLIC WHOLESALE
TALII PHARMACY LTD,6681.30,KORLE-BU WHOLESALE
HANSON MEMORIAL HOSPITAL,6676.87,MALLAM WHOLESALE
ADOM CHEMICALS,6669.04,KASOA WHOLESALE
DIS-CHEM PHARMACY LTD,6658.32,DOME WHOLESALE
LIFE DOOR PHARMACY,6648.28,DANSOMAN MARKET WHOLESALE
FLICHRIS VENTURES,6645.25,MALLAM WHOLESALE
WELLMART PHARMACY,6641.83,OSU WHOLESALE
MD PHARMACY - FADAMA,6613.18,TANTRA HILL WHOLESALE
GRACE LOVE PHARMACY,6605.45,MALLAM WHOLESALE
JOEPHSON PHARMACY,6604.43,KASOA WHOLESALE
MAIDEN PHARMACY,6594.16,OKAISHIE WHOLESALE
KLIR MATE PHARMACY,6588.52,TANTRA HILL WHOLESALE
PRIS-WILLIAM'S CHEMICAL SHOP,6580.72,NANAKROM WHOLESALE
ELITE CARE CHEMICAL SHOP,6555.68,OFANKOR WHOLESALE
JIDAH PHARMACY LTD,6551.73,TANTRA HILL WHOLESALE
THE HEART SPECIALIST HOSPITAL,6550.00,KUMASI WHOLESALE
OYARIFA HEALTH CLINIC,6547.14,KORLE-BU WHOLESALE
ABIGAIL AGYEKUM CHEMICAL SHOP,6532.24,ABEKA WHOLESALE
CHRISTOPHER CHEMICALS,6529.73,MALLAM WHOLESALE
MEDTOWN PHARMACY LTD,6529.10,OFANKOR WHOLESALE
JEKMAN PHARMACY,6516.37,MALLAM WHOLESALE
OPA CHEMIST LTD,6509.81,DOME WHOLESALE
BRIGAIL PHARMACY,6494.60,DOME WHOLESALE
KOMBAT PHARMACY LTD,6464.50,OKAISHIE WHOLESALE
EVELYNKING PHARMACY,6457.82,MALLAM WHOLESALE
STEWARDS PHARMACY,6456.54,PATASE WHOLESALE
EUNICE ADAMAH CHEMICALS,6437.00,KORLE-BU WHOLESALE
GODSED PHARMACY,6435.18,ASHAIMAN WHOLESALE
EXPRESS CARE PHARMACY SPINTEX,6433.04,DANSOMAN MARKET WHOLESALE
JOYCE CHEMICAL SHOP,6384.30,KASOA WHOLESALE
EMMANUEL CHEMICAL SHOP,6373.41,DOME WHOLESALE
THE CHOSEN HOSPITAL & FERTILITY CENTER,6370.41,MALLAM WHOLESALE
MEDITEL PHARMA LTD,6357.50,DOME WHOLESALE
KLAD PHARMACY,6357.45,TANTRA HILL WHOLESALE
ADKENS PHARMACY,6316.15,OSU WHOLESALE
BRAVEN WAVES PHARMACY,6316.06,OKAISHIE WHOLESALE
BOSTON MEDICAL CENTRE,6315.68,KORLE-BU WHOLESALE
BEKKENS PHARMACY,6304.55,DOME WHOLESALE
WEST LIFE PHARMACY,6303.15,DANSOMAN MARKET WHOLESALE
ANGEL PHARMACY,6292.00,PATASE WHOLESALE
JACQUELINE CHEMICAL,6252.25,DANSOMAN MARKET WHOLESALE
NAADOSTI PHARMACY,6233.52,AKUKOR FOTO WHOLESALE
DJOBAK MEDICAL,6218.87,ABEKA WHOLESALE
URIKA MEDICAL CENTRE,6200.22,KORLE-BU WHOLESALE
GAMENS PHARMACY,6193.22,MALLAM WHOLESALE
KOD CHEMICALS,6190.57,ASHAIMAN WHOLESALE
SAMVANS CHEMICALS,6171.77,KASOA WHOLESALE
FAMILYMEDS PHARMACY-ASHONGMAN,6158.90,ABEKA WHOLESALE
GLENOF MATERNITY AND FAMILY HOSPITAL,6153.86,ABEKA WHOLESALE
VIVA ATLANTIS PHARMACY,6139.39,OKAISHIE WHOLESALE
LIZZY CLINIC,6137.74,OFANKOR WHOLESALE
LINDA AFOAKWA CHEMICAL SHOP,6114.13,OFANKOR WHOLESALE
ANTHONY G. AGBENYEGAH LIC CHEMICAL,6105.48,MALLAM WHOLESALE
ISECORM MEDICAL CENTRE,6099.51,TANTRA HILL WHOLESALE
SCOTT CHEMICAL,6098.35,TANTRA HILL WHOLESALE
TRIPPLE J LIFE PHARMACY,6087.33,DOME WHOLESALE
YAMDEN PHARMACY,6086.84,OKAISHIE WHOLESALE
GASK VENTURES,6071.53,DANSOMAN MARKET WHOLESALE
SARAH DONKOR CHEMICALS,6066.09,OKAISHIE WHOLESALE
HALF  MIDQ,6043.32,NANAKROM WHOLESALE
JEPEARLS CHEMICAL,6041.84,KORLE-BU WHOLESALE
NORTS  PHARMACY,6040.66,ABEKA WHOLESALE
REGENT PHARMACY,6040.09,DOME WHOLESALE
RAB CHEMICAL SHOP,6036.14,DOME WHOLESALE
RISCOB PHARMACY,6027.31,MALLAM WHOLESALE
HEALTH FORTE PHARMACY,6012.89,ABEKA WHOLESALE
LYNSAM CHEMIST,6011.14,DANSOMAN MARKET WHOLESALE
SPRING PHARMACY,6006.72,OKAISHIE WHOLESALE
MEDIMART PHARMACY,6004.40,TANTRA HILL WHOLESALE
TRIPPLE B PHARMACY,6001.15,AKUKOR FOTO WHOLESALE
RICCO CHEMIST,5992.81,OFANKOR WHOLESALE
FREE-CARE CHEMICAL SHOP,5983.98,DANSOMAN MARKET WHOLESALE
DELALI G CHEMIST,5977.94,DANSOMAN MARKET WHOLESALE
CATENA VETERINARY HOSPITAL AND PHARMACY,5963.90,PATASE WHOLESALE
EVALIZ PHARMACY LIMITED-AMASAMAN,5962.00,OKAISHIE WHOLESALE
FAITH MISSION HOSPITAL,5956.00,MALLAM WHOLESALE
SELINA DUBENG LICENSED (O.T.C) CHEMICAL - ASSIN PRASO,5953.80,MALLAM WHOLESALE
REDOUDO PHARMACY,5939.14,REPUBLIC WHOLESALE
CECILIA CHEMICALS,5889.26,KORLE-BU WHOLESALE
ST. ANDREW CATHOLIC HOSPITAL,5882.61,KORLE-BU WHOLESALE
DENNIS AGBOTSE CHEMICALS,5864.10,MALLAM WHOLESALE
FAMANDA PHARMACY,5853.79,KASOA WHOLESALE
JAYSTEL PHARMACY,5843.36,TANTRA HILL WHOLESALE
ROMART PHARMACY-KASOA,5837.09,MALLAM WHOLESALE
BLACK SWAN PHARMACY,5834.19,MALLAM WHOLESALE
3J'S PHARMACY,5810.46,ABEKA WHOLESALE
ZIDDALEX,5803.39,ABEKA WHOLESALE
DERBY CHEMICAL,5780.02,NANAKROM WHOLESALE
VINE MEDICS LTD,5780.00,KORLE-BU WHOLESALE
LYN - NACH MEDICAL CENTRE,5763.61,KORLE-BU WHOLESALE
GASK VENTURES,5756.03,OKAISHIE WHOLESALE
TRITONE PHARMACY,5743.53,KORLE-BU WHOLESALE
ROCK CHEMISTS - KWABENYA,5733.60,DOME WHOLESALE
TRIPPLE B PHARMACY,5714.04,ASHAIMAN WHOLESALE
DESKAS PHARMACY LTD-KASOA,5698.99,MALLAM WHOLESALE
DRUGIX PHARMACY,5682.37,TANTRA HILL WHOLESALE
CHASCA CHEMIST,5680.85,ASHAIMAN WHOLESALE
HAMSA PHARMACY,5674.11,KORLE-BU WHOLESALE
FIRST HOPE HEALTH LTD,5669.97,DOME WHOLESALE
RITA CHEMICAL,5663.97,OFANKOR WHOLESALE
MALB PHARMA LIMITED,5637.46,OFANKOR WHOLESALE
ROSEMAY CHEMICAL SHOP,5630.52,MALLAM WHOLESALE
ALL IS WELL PHARMACY,5620.77,DOME WHOLESALE
FINNEY HOSPITAL AND FERTILITY CENTRE,5600.00,DOME WHOLESALE
NOREN PHARMACY,5581.92,ASHAIMAN WHOLESALE
MEDICAP PHARMACY,5578.88,KUMASI WHOLESALE
REGENT PHARMACY,5557.85,KORLE-BU WHOLESALE
ANIL PHARMACY,5545.17,ASHAIMAN WHOLESALE
GEOVA AFRICAN MARKET LLC,5537.29,MALLAM WHOLESALE
NANCY CHEMICAL,5514.85,OFANKOR WHOLESALE
FLORENCE CHEMICAL,5512.58,DOME WHOLESALE
ALPHA CARE PHARMACY,5499.20,OFANKOR WHOLESALE
RICHSHE CHEMICAL SHOP,5480.23,DANSOMAN MARKET WHOLESALE
LORRITA CHEMICAL,5467.89,DOME WHOLESALE
CONEL PHARMACY,5459.44,KORLE-BU WHOLESALE
GOLDEN HEALTH PHARMACY,5449.40,MALLAM WHOLESALE
MOBIMED PHARMACY LIMITED,5448.13,OSU WHOLESALE
RASE CHEMIST,5447.51,DOME WHOLESALE
SIX CEES PHARMACY,5445.71,ABEKA WHOLESALE
GRAFT FOUNDATION,5440.00,KUMASI WHOLESALE
HEALTH OPTIONS PHARMACY,5434.27,OSU WHOLESALE
MEDKNIGHT PHARMACY,5429.12,KORLE-BU WHOLESALE
MARADERM HEALTH CENTER,5418.33,KASOA WHOLESALE
JESS CHEMIST,5413.57,ABEKA WHOLESALE
FRANKEZS PHARMACY,5403.36,OKAISHIE WHOLESALE
PARTNERS PLUS LTD,5401.49,ABEKA WHOLESALE
NEW DISCOVERY PHARMACY,5397.77,ABEKA WHOLESALE
AMEN  CHEMICALS,5387.58,MALLAM WHOLESALE
VAROLII LICENSED CHEMICAL SHOP,5368.67,KORLE-BU WHOLESALE
PURE CARE PHARMACY,5368.15,KORLE-BU WHOLESALE
ABANGIDI ALLAH CHEMIST,5358.20,KASOA WHOLESALE
A & F PHARMACY,5348.12,KORLE-BU WHOLESALE
RICHAM OTC,5331.99,TANTRA HILL WHOLESALE
MAMPROBI HOSPITAL,5331.78,KORLE-BU WHOLESALE
FCUBE PHARMACY KUMASI,5331.07,TANTRA HILL WHOLESALE
SONOTECH MEDICAL AND DIAGNOSTIC CENTRE,5319.24,OSU WHOLESALE
SAVERS LIFE PHARMACY LTD.,5310.43,MALLAM WHOLESALE
NAJ PHARMACY,5283.47,NANAKROM WHOLESALE
KATE OSEI LICENSED CHEMICAL,5269.55,OFANKOR WHOLESALE
ROYAL FAMILY HOSPITAL,5264.68,KORLE-BU WHOLESALE
OBISABAK PHARMACY,5252.87,DOME WHOLESALE
ST THOMAS HOSPITAL,5250.00,OSU WHOLESALE
BENEDICTA CHEMICAL,5246.46,KORLE-BU WHOLESALE
SPRING PHARMACY,5238.12,OFANKOR WHOLESALE
MD PHARMACY - FADAMA,5226.73,ABEKA WHOLESALE
PEVED PHARMACY,5213.31,OSU WHOLESALE
HEAVENLY KARIS CHEMICAL SHOP,5210.58,DOME WHOLESALE
POLICE HOSPITAL ICU,5208.60,OSU WHOLESALE
ONYX MEDICAL AND FERTILITY CENTRE,5172.50,DOME WHOLESALE
GLORIA CHEMICALS,5160.27,DOME WHOLESALE
MEDISHOP PHARMACY,5148.47,DOME WHOLESALE
STANFORD CLINIC,5130.00,ASHAIMAN WHOLESALE
RUANDY PHARMACY,5119.00,OKAISHIE WHOLESALE
DISCOVERY HOSPITAL,5107.09,OFANKOR WHOLESALE
HUMANO PHARMACY,5105.00,OKAISHIE WHOLESALE
PILL BAY PHARMACY,5100.67,MALLAM WHOLESALE
NYARKOA CHEMICALS,5100.24,DANSOMAN MARKET WHOLESALE
CENTRAL AFLAO HOSPITAL- V/R,5097.58,MALLAM WHOLESALE
BENJAMIN RICHTER,5078.33,OFANKOR WHOLESALE
EVERYDAY PHARMACY - AWOSHIE,5063.61,AKUKOR FOTO WHOLESALE
CEL- GRATIS CHEMIST,5051.41,KORLE-BU WHOLESALE
KENT PHARMACY,5043.98,DOME WHOLESALE
BB PHARMA,5040.02,DOME WHOLESALE
HILLS PHARMACY (WHOLESALE),5027.24,OKAISHIE WHOLESALE
C AND C CHEMICAL,5024.57,MALLAM WHOLESALE
GIBEE PHARMACY,5011.45,OKAISHIE WHOLESALE
GLABOVAN PHARMACY,5010.97,DOME WHOLESALE
ESTHER TAMAKLOE CHEMICAL SHOP,5006.77,OFANKOR WHOLESALE
PRAK AND DAUGHTERS PHARMACY,5000.00,KORLE-BU WHOLESALE
EDMIDA PHARMACY,4982.45,KUMASI WHOLESALE
COSTLESS VENTURES,4976.25,KORLE-BU WHOLESALE
DEMENS PHARMACY (DANSOMAN),4973.75,DANSOMAN MARKET WHOLESALE
DASK CHEMIST,4960.00,MALLAM WHOLESALE
EBENEZER CHEMISTS,4950.47,OKAISHIE WHOLESALE
ANSU MEMORIAL PHARMACY-ASHONGMAN ESTATE,4948.22,TANTRA HILL WHOLESALE
ROYAL PARK HOSPITAL,4947.61,DOME WHOLESALE
GILEAD PHARMACY,4940.87,DANSOMAN MARKET WHOLESALE
TETEGU COMMUNITY CLINIC,4940.10,MALLAM WHOLESALE
ZOLENNIKS ENTERPRISE,4940.00,MALLAM WHOLESALE
BLING AND POLISH BEAUTY,4938.19,MALLAM WHOLESALE
ZODIAC CHEMIST,4934.18,MALLAM WHOLESALE
MERCY CHEMICAL MAMPROBI,4930.08,DANSOMAN MARKET WHOLESALE
FAUSTINA ADU CHEMICAL,4929.94,OKAISHIE WHOLESALE
JOS PHARMACEUTICALS,4914.30,MALLAM WHOLESALE
LAGRAS HEALTH CENTRE,4899.82,DANSOMAN MARKET WHOLESALE
FRACTAL PHARMACY,4896.05,OKAISHIE WHOLESALE
PJ PHARMACY,4887.95,MALLAM WHOLESALE
CARTHUR PHARMACY,4864.65,OKAISHIE WHOLESALE
COGENT PHARMACY,4833.94,PATASE WHOLESALE
EAST AIRPORT PHARMACY,4823.97,ASHAIMAN WHOLESALE
HEALTHKIT PHARMACY - POKUASE,4817.60,MALLAM WHOLESALE
ACHESTA PHARMACEUTICALS,4800.30,MALLAM WHOLESALE
ADOM CHEMICALS,4789.61,DANSOMAN MARKET WHOLESALE
SAMYANKS CHEMICAL,4779.27,KASOA WHOLESALE
GOLDEN SIKA PHARMACY,4770.91,OKAISHIE WHOLESALE
CENTER FOR RURAL DEVELOPMENT,4768.38,TANTRA HILL WHOLESALE
JRX PHARMACY - RETAIL,4762.21,DANSOMAN MARKET WHOLESALE
MIMOSA HOSPITAL,4760.97,MALLAM WHOLESALE
GRACE CARE PHARMACY,4750.20,KORLE-BU WHOLESALE
TINA CHEMICAL SHOP,4749.35,OKAISHIE WHOLESALE
BENCARE CHEMICAL,4749.22,TANTRA HILL WHOLESALE
KOHINTA PHARMACY,4747.78,MALLAM WHOLESALE
ROYAL GATE FAMILY HOSPITAL,4746.80,KUMASI WHOLESALE
DR (MED) KENNETH KORANTENG ANOFF,4735.65,KUMASI WHOLESALE
NYARKOA CHEMICALS,4732.92,KORLE-BU WHOLESALE
SILVARA PHARMACY,4723.31,OKAISHIE WHOLESALE
PATRICIA WETTEY CHEMICAL SHOP,4718.67,DOME WHOLESALE
UNIQUE AID PHARMACY,4711.08,TANTRA HILL WHOLESALE
NGLESHIE AMANFROM POLYCLINIC,4700.00,MALLAM WHOLESALE
TREE OF LIFE,4683.76,NANAKROM WHOLESALE
ULTRA CARE CLINIC AND FERTILITY CENTER,4671.61,MALLAM WHOLESALE
BIG FLOWER PHARMACEUTICALS LTD,4670.49,OSU WHOLESALE
